player_slug,player_name,season_name,competition_name,injury_reason,from_date,end_date,days_missed,games_missed
wes-morgan,Wes Morgan (10003),20/21,Premier League,Back injury,2021-01-22,2021-05-12,111.0,23
wes-morgan,Wes Morgan (10003),20/21,Premier League,Hamstring strain,2020-09-07,2020-09-18,12.0,1
wes-morgan,Wes Morgan (10003),19/20,Premier League,Ill,2020-01-26,2020-02-13,19.0,2
wes-morgan,Wes Morgan (10003),19/20,Premier League,Groin injury,2020-01-05,2020-01-18,14.0,2
wes-morgan,Wes Morgan (10003),19/20,Premier League,Back injury,2019-08-30,2019-09-13,15.0,1
wes-morgan,Wes Morgan (10003),18/19,Premier League,Ill,2018-12-27,2019-01-11,16.0,3
wes-morgan,Wes Morgan (10003),17/18,Premier League,Achilles tendon contusion,2018-01-01,2018-02-15,46.0,9
william-carvalho,William Carvalho (100131),23/24,LaLiga,unknown injury,2024-02-15,2024-02-19,5.0,2
william-carvalho,William Carvalho (100131),23/24,LaLiga,Inflammation of the biceps tendon in the thigh,2023-11-27,2023-12-14,18.0,5
william-carvalho,William Carvalho (100131),23/24,LaLiga,Muscle injury,2023-08-01,2023-09-25,56.0,7
william-carvalho,William Carvalho (100131),20/21,LaLiga,muscular problems,2020-12-27,2021-01-11,16.0,4
william-carvalho,William Carvalho (100131),19/20,LaLiga,Ill,2020-06-14,2020-06-20,7.0,2
william-carvalho,William Carvalho (100131),19/20,LaLiga,muscular problems,2020-02-24,2020-05-24,91.0,2
william-carvalho,William Carvalho (100131),19/20,LaLiga,Muscle injury,2019-10-03,2020-02-06,127.0,22
william-carvalho,William Carvalho (100131),18/19,LaLiga,Broken nose bone,2019-04-16,2019-05-11,26.0,4
william-carvalho,William Carvalho (100131),18/19,LaLiga,Hamstring injury,2019-01-31,2019-02-06,7.0,1
william-carvalho,William Carvalho (100131),18/19,LaLiga,Leg injury,2018-09-11,2018-09-28,18.0,4
william-carvalho,William Carvalho (100131),17/18,,muscular problems,2018-04-06,2018-05-03,28.0,6
william-carvalho,William Carvalho (100131),17/18,,Hamstring injury,2018-03-20,2018-04-03,15.0,3
william-carvalho,William Carvalho (100131),17/18,,influenza,2018-02-24,2018-02-28,5.0,1
william-carvalho,William Carvalho (100131),17/18,,Thigh problems,2018-02-05,2018-02-09,5.0,1
lago-junior,Lago Júnior (100722),23/24,,Muscle injury,2023-09-08,2023-09-13,6.0,1
lago-junior,Lago Júnior (100722),22/23,LaLiga,unknown injury,2023-04-07,2023-04-28,22.0,3
lago-junior,Lago Júnior (100722),21/22,LaLiga,Muscle injury,2022-04-18,2022-05-18,31.0,4
lago-junior,Lago Júnior (100722),17/18,,Knee injury,2017-12-10,2018-03-03,84.0,13
david-pejicic,David Pejičić (1009633),23/24,Serie A,Leg injury,2023-12-17,2023-12-22,6.0,1
thomas-meunier,Thomas Meunier (100986),23/24,Bundesliga,Partial muscle tear,2024-06-08,2024-07-02,25.0,4
thomas-meunier,Thomas Meunier (100986),23/24,Bundesliga,Muscle injury,2023-07-31,2023-10-27,89.0,16
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Muscle injury,2023-04-16,2023-05-29,44.0,6
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Back problems,2023-03-29,2023-04-06,9.0,2
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Torn muscle fiber,2023-01-12,2023-02-09,29.0,5
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Broken cheekbone,2022-10-20,2022-11-17,29.0,7
thomas-meunier,Thomas Meunier (100986),22/23,Bundesliga,Groin problems,2022-10-13,2022-10-13,1.0,0
thomas-meunier,Thomas Meunier (100986),21/22,Bundesliga,Tendon rupture,2022-02-24,2022-05-12,78.0,13
thomas-meunier,Thomas Meunier (100986),21/22,Bundesliga,minor knock,2022-02-10,2022-02-21,12.0,3
thomas-meunier,Thomas Meunier (100986),21/22,Bundesliga,muscular problems,2022-01-20,2022-01-31,12.0,1
thomas-meunier,Thomas Meunier (100986),21/22,Bundesliga,Knock,2021-10-21,2021-10-25,5.0,1
thomas-meunier,Thomas Meunier (100986),21/22,Bundesliga,muscular problems,2021-09-02,2021-09-09,8.0,2
pedro-obiang,Pedro Obiang (101213),23/24,Serie A,Hamstring muscle injury,2023-10-19,2024-02-23,128.0,25
pedro-obiang,Pedro Obiang (101213),23/24,Serie A,unknown injury,2023-08-07,2023-09-15,40.0,5
pedro-obiang,Pedro Obiang (101213),21/22,,unknown injury,2021-08-16,2022-07-06,325.0,55
pedro-obiang,Pedro Obiang (101213),19/20,Serie A,Adductor injury,2020-06-30,2020-07-28,29.0,8
pedro-obiang,Pedro Obiang (101213),18/19,Premier League,Calf strain,2018-10-07,2018-11-02,27.0,5
pedro-obiang,Pedro Obiang (101213),17/18,Premier League,Knee injury,2018-01-27,2018-05-04,98.0,12
pedro-obiang,Pedro Obiang (101213),17/18,Premier League,muscular problems,2017-09-17,2017-10-14,28.0,5
vivaldo-semedo,Vivaldo Semedo (1014243),23/24,Serie A,muscular problems,2023-11-23,2024-01-24,63.0,9
vivaldo-semedo,Vivaldo Semedo (1014243),23/24,Serie A,Knee injury,2023-09-10,2023-11-11,63.0,18
matej-vydra,Matej Vydra (101500),23/24,,Knee injury,2023-11-05,2023-12-11,37.0,8
matej-vydra,Matej Vydra (101500),21/22,Premier League,Elbow injury,2022-03-09,2022-03-31,23.0,1
matej-vydra,Matej Vydra (101500),21/22,Premier League,Groin surgery,2022-02-03,2022-02-28,26.0,6
matej-vydra,Matej Vydra (101500),20/21,Premier League,Hamstring injury,2021-02-10,2021-02-18,9.0,2
matej-vydra,Matej Vydra (101500),20/21,Premier League,Back injury,2020-12-18,2021-01-11,25.0,4
matej-vydra,Matej Vydra (101500),19/20,Premier League,Hip injury,2019-11-03,2019-12-02,30.0,5
gift-orban,Gift Orban (1018259),23/24,Ligue 1,Ankle injury,2023-09-17,2023-09-22,6.0,2
gift-orban,Gift Orban (1018259),22/23,,unknown injury,2022-04-03,2022-05-17,45.0,0
fabio-pisacane,Fabio Pisacane (101922),21/22,,Cruciate ligament surgery,2021-09-13,2022-03-13,182.0,20
fabio-pisacane,Fabio Pisacane (101922),20/21,Serie A,Stomach flu,2020-12-05,2020-12-12,8.0,1
fabio-pisacane,Fabio Pisacane (101922),19/20,Serie A,Rib fracture,2020-06-24,2020-06-30,7.0,1
fabio-pisacane,Fabio Pisacane (101922),17/18,Serie A,Muscle fatigue,2018-04-30,2018-05-07,8.0,1
fabio-pisacane,Fabio Pisacane (101922),17/18,Serie A,Crack bruise,2018-02-21,2018-02-26,6.0,1
fabio-pisacane,Fabio Pisacane (101922),17/18,Serie A,Muscle injury,2017-10-25,2017-11-04,11.0,2
jorginho,Jorginho (102017),21/22,Premier League,unknown injury,2022-05-01,2022-05-08,8.0,2
yuliwes-bellache,Yuliwes Bellache (1020544),23/24,,Knock,2023-12-16,2024-04-23,130.0,13
yuliwes-bellache,Yuliwes Bellache (1020544),23/24,,Knock,2023-11-08,2023-12-03,26.0,4
thorgan-hazard,Thorgan Hazard (102226),23/24,Bundesliga,Cruciate ligament tear,2024-04-14,2024-12-24,255.0,37
thorgan-hazard,Thorgan Hazard (102226),23/24,Bundesliga,flu,2023-12-21,2023-12-25,5.0,1
thorgan-hazard,Thorgan Hazard (102226),23/24,Bundesliga,Knee injury,2023-11-25,2023-12-20,26.0,5
thorgan-hazard,Thorgan Hazard (102226),22/23,Bundesliga,Ankle injury,2023-05-03,2023-05-10,8.0,1
thorgan-hazard,Thorgan Hazard (102226),22/23,Bundesliga,unknown injury,2023-02-18,2023-03-15,26.0,6
thorgan-hazard,Thorgan Hazard (102226),22/23,Bundesliga,Thigh problems,2022-09-08,2022-09-12,5.0,1
thorgan-hazard,Thorgan Hazard (102226),21/22,Bundesliga,Back problems,2022-04-14,2022-06-02,50.0,5
thorgan-hazard,Thorgan Hazard (102226),21/22,Bundesliga,Corona virus,2021-11-22,2021-12-09,18.0,4
thorgan-hazard,Thorgan Hazard (102226),21/22,Bundesliga,Ankle problems,2021-10-07,2021-10-11,5.0,1
thorgan-hazard,Thorgan Hazard (102226),21/22,Bundesliga,Ankle problems,2021-08-16,2021-09-13,29.0,7
thorgan-hazard,Thorgan Hazard (102226),20/21,Bundesliga,Torn muscle fiber,2020-12-24,2021-02-22,61.0,11
thorgan-hazard,Thorgan Hazard (102226),20/21,Bundesliga,Hamstring strain,2020-12-10,2020-12-21,12.0,3
thorgan-hazard,Thorgan Hazard (102226),20/21,Bundesliga,Torn muscle fiber,2020-09-21,2020-10-22,32.0,8
thorgan-hazard,Thorgan Hazard (102226),19/20,Bundesliga,Bruised ribs,2019-08-26,2019-09-12,18.0,3
matthew-lowton,Matthew Lowton (102258),20/21,Premier League,Knee injury,2020-10-01,2020-10-25,25.0,2
matthew-lowton,Matthew Lowton (102258),19/20,Premier League,Ankle injury,2020-06-28,2020-09-16,81.0,7
matthew-lowton,Matthew Lowton (102258),19/20,Premier League,Knee injury,2020-02-03,2020-06-10,129.0,4
matthew-lowton,Matthew Lowton (102258),18/19,Premier League,Toe injury,2019-01-20,2019-02-08,20.0,3
matthew-lowton,Matthew Lowton (102258),18/19,Premier League,Knock,2019-01-03,2019-01-11,9.0,1
matthew-lowton,Matthew Lowton (102258),17/18,Premier League,Knock,2017-11-27,2017-12-15,19.0,4
matthias-maak,Matthias Maak (102271),23/24,Bundesliga,unknown injury,2024-03-30,2024-04-26,28.0,5
matthias-maak,Matthias Maak (102271),23/24,Bundesliga,Back problems,2023-09-29,2023-12-31,94.0,10
matthias-maak,Matthias Maak (102271),23/24,Bundesliga,Back problems,2023-09-15,2023-09-25,11.0,2
matthias-maak,Matthias Maak (102271),22/23,Bundesliga,Torn muscle bundle,2023-03-18,2023-04-07,21.0,2
matthias-maak,Matthias Maak (102271),22/23,Bundesliga,Outer ligament tear,2022-11-04,2023-01-16,74.0,2
matthias-maak,Matthias Maak (102271),21/22,,Outer ligament tear,2021-11-19,2022-02-24,98.0,3
matthias-maak,Matthias Maak (102271),21/22,,Adductor pain,2021-08-05,2021-08-19,15.0,2
michael-hefele,Michael Hefele (102382),18/19,,Achilles tendon surgery,2019-01-02,2020-01-02,366.0,49
michael-hefele,Michael Hefele (102382),17/18,Premier League,Knee injury,2018-03-01,2018-06-30,122.0,10
michael-hefele,Michael Hefele (102382),17/18,Premier League,Achilles tendon problems,2017-09-26,2017-12-29,95.0,14
leandro-cabrera,Leandro Cabrera (102423),20/21,,Knock,2020-12-05,2020-12-14,10.0,2
leandro-cabrera,Leandro Cabrera (102423),19/20,LaLiga,Corona virus,2020-03-16,2020-04-03,19.0,0
leandro-cabrera,Leandro Cabrera (102423),19/20,LaLiga,Muscle injury,2019-11-26,2019-11-30,5.0,1
leandro-cabrera,Leandro Cabrera (102423),19/20,LaLiga,Achilles tendon problems,2019-11-01,2019-11-08,8.0,2
leandro-cabrera,Leandro Cabrera (102423),18/19,LaLiga,Muscle injury,2019-04-06,2019-04-12,7.0,1
leandro-cabrera,Leandro Cabrera (102423),17/18,LaLiga,Knee injury,2018-04-22,2018-05-22,31.0,4
leandro-cabrera,Leandro Cabrera (102423),17/18,Serie A,Knee injury,2018-04-22,2018-05-22,31.0,4
antonino-ragusa,Antonino Ragusa (102470),21/22,Serie A,Corona virus,2022-01-05,2022-01-10,6.0,2
antonino-ragusa,Antonino Ragusa (102470),20/21,,unknown injury,2020-10-05,2020-11-05,32.0,4
antonino-ragusa,Antonino Ragusa (102470),18/19,,Cruciate ligament tear,2018-12-17,2019-06-30,196.0,27
antonino-ragusa,Antonino Ragusa (102470),18/19,,Knee problems,2018-09-24,2018-09-27,4.0,1
marco-verratti,Marco Verratti (102558),22/23,Ligue 1,Hamstring injury,2023-04-03,2023-04-17,15.0,2
marco-verratti,Marco Verratti (102558),22/23,Ligue 1,Hip problems,2023-02-10,2023-02-12,3.0,1
marco-verratti,Marco Verratti (102558),22/23,Ligue 1,Dead leg,2023-01-10,2023-01-24,15.0,3
marco-verratti,Marco Verratti (102558),22/23,Ligue 1,Calf problems,2022-09-18,2022-09-30,13.0,3
marco-verratti,Marco Verratti (102558),21/22,Ligue 1,unknown injury,2022-05-31,2022-06-07,8.0,3
marco-verratti,Marco Verratti (102558),21/22,Ligue 1,Hip injury,2021-10-25,2021-11-19,26.0,5
marco-verratti,Marco Verratti (102558),21/22,Ligue 1,Knee injury,2021-09-07,2021-09-24,18.0,5
marco-verratti,Marco Verratti (102558),21/22,Ligue 1,Fitness,2021-07-12,2021-08-16,36.0,3
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Knee injury,2021-05-08,2021-06-20,44.0,10
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Knock,2021-04-20,2021-04-23,4.0,1
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Corona virus,2021-04-02,2021-04-12,11.0,3
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Thigh problems,2021-03-29,2021-04-01,4.0,1
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Inflammation of the sole of the foot,2021-02-26,2021-03-05,8.0,2
marco-verratti,Marco Verratti (102558),20/21,Ligue 1,Hip injury,2021-02-08,2021-02-13,6.0,2
francois-mughe,François Mughe (1027216),23/24,Ligue 1,Knock,2024-02-11,2024-04-19,69.0,8
sebastien-corchia,Sébastien Corchia (102744),23/24,,Knee injury,2024-04-07,2024-05-09,33.0,5
sebastien-corchia,Sébastien Corchia (102744),23/24,,Knee injury,2023-12-06,2024-01-22,48.0,5
sebastien-corchia,Sébastien Corchia (102744),22/23,Ligue 1,Ill,2023-03-02,2023-03-06,5.0,1
sebastien-corchia,Sébastien Corchia (102744),21/22,Ligue 1,Ankle sprain,2022-03-12,2022-03-30,19.0,2
sebastien-corchia,Sébastien Corchia (102744),21/22,Ligue 1,Groin injury,2021-11-21,2021-12-15,25.0,4
sebastien-corchia,Sébastien Corchia (102744),20/21,Ligue 1,Dead leg,2021-03-10,2021-03-30,21.0,2
sebastien-corchia,Sébastien Corchia (102744),20/21,Ligue 1,Knock,2021-02-19,2021-03-02,12.0,2
sebastien-corchia,Sébastien Corchia (102744),20/21,Ligue 1,Corona virus,2020-10-28,2020-11-15,19.0,2
sebastien-corchia,Sébastien Corchia (102744),19/20,LaLiga,Knee injury,2019-12-12,2020-07-30,232.0,28
sebastien-corchia,Sébastien Corchia (102744),19/20,LaLiga,Muscle injury,2019-09-02,2019-10-02,31.0,5
sebastien-corchia,Sébastien Corchia (102744),18/19,,Muscle injury,2019-04-12,2019-05-31,50.0,7
sebastien-corchia,Sébastien Corchia (102744),18/19,,Knee injury,2018-08-21,2018-09-25,36.0,7
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,Calf problems,2022-03-28,2022-04-15,19.0,2
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,Muscle injury,2022-01-18,2022-01-22,5.0,1
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,unknown injury,2022-01-04,2022-01-15,12.0,2
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,flu,2021-12-11,2021-12-14,4.0,1
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,Lumbago,2021-11-06,2021-11-19,14.0,3
luca-ceppitelli,Luca Ceppitelli (102745),21/22,Serie A,Muscle injury,2021-10-01,2021-10-13,13.0,3
luca-ceppitelli,Luca Ceppitelli (102745),20/21,Serie A,Calf injury,2021-03-15,2021-04-17,34.0,4
luca-ceppitelli,Luca Ceppitelli (102745),20/21,Serie A,Thigh problems,2021-02-03,2021-02-18,16.0,2
luca-ceppitelli,Luca Ceppitelli (102745),20/21,Serie A,muscular problems,2020-10-16,2020-12-05,51.0,8
luca-ceppitelli,Luca Ceppitelli (102745),20/21,Serie A,Corona virus,2020-09-19,2020-10-15,27.0,3
luca-ceppitelli,Luca Ceppitelli (102745),19/20,Serie A,Ankle sprain,2020-07-02,2020-07-10,9.0,2
luca-ceppitelli,Luca Ceppitelli (102745),19/20,Serie A,Heel spur,2020-02-25,2020-03-31,36.0,1
luca-ceppitelli,Luca Ceppitelli (102745),19/20,Serie A,Heel spur,2019-10-28,2020-02-11,107.0,17
luca-ceppitelli,Luca Ceppitelli (102745),18/19,Serie A,inflammation,2019-05-11,2019-06-16,37.0,10
luca-ceppitelli,Luca Ceppitelli (102745),18/19,Serie A,Muscle injury,2018-08-19,2018-10-02,45.0,8
antoine-joujou,Antoine Joujou (1028162),23/24,Ligue 1,Injury to the ankle,2023-09-04,2023-10-28,55.0,5
antonio-junior-vacca,Antonio Junior Vacca (102984),23/24,,unknown injury,2023-11-23,2023-12-03,11.0,1
antonio-junior-vacca,Antonio Junior Vacca (102984),23/24,,unknown injury,2023-10-20,2023-11-03,15.0,3
antonio-junior-vacca,Antonio Junior Vacca (102984),22/23,,unknown injury,2023-06-09,2023-06-16,8.0,1
antonio-junior-vacca,Antonio Junior Vacca (102984),22/23,,unknown injury,2023-04-01,2023-05-12,42.0,4
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,Broken nose bone,2022-05-01,2022-05-06,6.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,muscular problems,2022-04-11,2022-04-30,20.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,unknown injury,2022-03-13,2022-03-19,7.0,1
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,Hamstring muscle injury,2022-01-21,2022-02-19,30.0,3
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,unknown injury,2022-01-04,2022-01-15,12.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,unknown injury,2021-12-10,2021-12-18,9.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,Heel problems,2021-11-29,2021-12-05,7.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),21/22,Serie A,strain,2021-10-18,2021-11-18,32.0,5
antonio-junior-vacca,Antonio Junior Vacca (102984),20/21,,Cruciate ligament tear,2021-01-17,2021-07-31,196.0,25
antonio-junior-vacca,Antonio Junior Vacca (102984),19/20,,unknown injury,2019-08-18,2019-09-12,26.0,2
antonio-junior-vacca,Antonio Junior Vacca (102984),18/19,,unknown injury,2018-11-18,2018-12-21,34.0,5
gotoku-sakai,Gotoku Sakai (103310),19/20,,Corona virus,2020-03-30,2020-04-24,26.0,0
gotoku-sakai,Gotoku Sakai (103310),17/18,Bundesliga,Ill,2017-11-22,2017-11-25,4.0,0
chris-smalling,Chris Smalling (103427),23/24,Serie A,Groin injury,2024-04-25,2024-04-30,6.0,2
chris-smalling,Chris Smalling (103427),23/24,Serie A,Bruise on ankle,2024-03-08,2024-03-29,22.0,3
chris-smalling,Chris Smalling (103427),23/24,Serie A,Tendonitis,2023-09-12,2024-02-10,152.0,29
chris-smalling,Chris Smalling (103427),22/23,Serie A,Hamstring injury,2023-04-20,2023-05-17,28.0,7
chris-smalling,Chris Smalling (103427),21/22,Serie A,unknown injury,2022-01-12,2022-01-23,12.0,3
chris-smalling,Chris Smalling (103427),21/22,Serie A,Hamstring injury,2021-10-05,2021-11-20,47.0,7
chris-smalling,Chris Smalling (103427),21/22,Serie A,Hamstring injury,2021-08-17,2021-09-08,23.0,4
chris-smalling,Chris Smalling (103427),20/21,Serie A,muscular problems,2021-05-06,2021-05-31,26.0,5
chris-smalling,Chris Smalling (103427),20/21,Serie A,Knee problems,2021-03-12,2021-04-23,43.0,9
chris-smalling,Chris Smalling (103427),20/21,Serie A,Hamstring muscle injury,2021-01-31,2021-03-03,32.0,8
chris-smalling,Chris Smalling (103427),20/21,Serie A,Inflammation in the knee,2020-11-24,2020-12-08,15.0,4
chris-smalling,Chris Smalling (103427),20/21,Serie A,Food poisoning,2020-11-18,2020-11-23,6.0,1
chris-smalling,Chris Smalling (103427),20/21,Serie A,sprain,2020-10-07,2020-10-27,21.0,3
chris-smalling,Chris Smalling (103427),19/20,Serie A,Adductor injury,2020-07-05,2020-07-19,15.0,5
chris-smalling,Chris Smalling (103427),19/20,Serie A,Bruised knee,2019-12-10,2019-12-19,10.0,2
artjoms-rudnevs,Artjoms Rudnevs (103547),17/18,Bundesliga,Nose surgery,2017-09-11,2017-10-01,21.0,5
wahbi-khazri,Wahbi Khazri (103565),23/24,Ligue 1,Muscle injury,2024-04-26,2024-05-31,36.0,4
wahbi-khazri,Wahbi Khazri (103565),23/24,Ligue 1,Ill,2024-03-30,2024-04-05,7.0,1
wahbi-khazri,Wahbi Khazri (103565),23/24,Ligue 1,Groin problems,2024-02-18,2024-02-25,8.0,2
wahbi-khazri,Wahbi Khazri (103565),23/24,Ligue 1,Muscle injury,2023-12-04,2024-01-04,32.0,3
wahbi-khazri,Wahbi Khazri (103565),21/22,Ligue 1,Dead leg,2022-04-28,2022-05-10,13.0,1
wahbi-khazri,Wahbi Khazri (103565),21/22,Ligue 1,Muscle injury,2022-03-21,2022-04-15,26.0,4
wahbi-khazri,Wahbi Khazri (103565),21/22,Ligue 1,Corona virus,2022-01-18,2022-01-23,6.0,3
wahbi-khazri,Wahbi Khazri (103565),20/21,Ligue 1,Thigh problems,2021-02-26,2021-03-10,13.0,2
wahbi-khazri,Wahbi Khazri (103565),17/18,Ligue 1,Torn muscle fiber,2018-05-06,2018-06-05,31.0,5
wahbi-khazri,Wahbi Khazri (103565),17/18,Ligue 1,Strain in the thigh and gluteal muscles,2017-12-02,2017-12-09,8.0,2
wahbi-khazri,Wahbi Khazri (103565),17/18,Ligue 1,Dead leg,2017-10-25,2017-10-28,4.0,2
dever-orgill,Dever Orgill (103621),22/23,,Foot injury,2023-03-02,2023-04-18,48.0,9
dever-orgill,Dever Orgill (103621),20/21,,unknown injury,2021-03-26,2021-04-12,18.0,3
dever-orgill,Dever Orgill (103621),20/21,,Hamstring strain,2020-11-26,2020-11-30,5.0,1
dever-orgill,Dever Orgill (103621),20/21,,Corona virus,2020-11-12,2020-11-26,15.0,4
dever-orgill,Dever Orgill (103621),19/20,,unknown injury,2020-02-10,2020-02-24,15.0,2
dever-orgill,Dever Orgill (103621),18/19,Bundesliga,Knee problems,2018-09-20,2018-09-28,9.0,2
eyad-el-askalany,Eyad El Askalany (1036407),23/24,Premier League,unknown injury,2024-02-17,2024-04-25,69.0,10
ismail-seydi,Ismaïl Seydi (1038701),23/24,Bundesliga,Knee surgery,2024-04-28,2024-11-09,196.0,29
ismail-seydi,Ismaïl Seydi (1038701),23/24,Bundesliga,cold,2024-04-02,2024-04-06,5.0,1
ismail-seydi,Ismaïl Seydi (1038701),23/24,Bundesliga,Ankle problems,2024-02-11,2024-03-03,22.0,4
luis-advincula,Luis Advíncula (103890),23/24,,Achilles tendon problems,2024-06-23,2024-07-12,20.0,2
luis-advincula,Luis Advíncula (103890),23/24,,Adductor tear,2024-05-20,2024-05-31,12.0,3
luis-advincula,Luis Advíncula (103890),22/23,,Knee injury,2023-06-07,2023-07-13,37.0,9
luis-advincula,Luis Advíncula (103890),22/23,,muscular problems,2023-03-29,2023-04-03,6.0,1
luis-advincula,Luis Advíncula (103890),21/22,,Torn muscle bundle,2022-05-23,2022-06-17,26.0,7
luis-advincula,Luis Advíncula (103890),21/22,,Torn muscle bundle,2021-10-11,2021-10-28,18.0,4
rafael-cabral,Rafael Cabral (103916),21/22,,Hand injury,2021-09-12,2021-09-24,13.0,2
michail-antonio,Michail Antonio (104124),23/24,Premier League,Knee injury,2023-11-18,2024-02-12,87.0,18
michail-antonio,Michail Antonio (104124),20/21,Premier League,Muscle injury,2021-04-06,2021-04-29,24.0,3
michail-antonio,Michail Antonio (104124),20/21,Premier League,Knock,2021-02-07,2021-02-16,10.0,2
michail-antonio,Michail Antonio (104124),20/21,Premier League,Muscle strain,2020-12-02,2020-12-28,27.0,5
michail-antonio,Michail Antonio (104124),20/21,Premier League,Hamstring injury,2020-10-25,2020-11-29,36.0,5
michail-antonio,Michail Antonio (104124),20/21,Premier League,Hamstring injury,2020-10-19,2020-10-23,5.0,0
michail-antonio,Michail Antonio (104124),19/20,Premier League,Groin injury,2020-01-26,2020-01-31,6.0,1
michail-antonio,Michail Antonio (104124),19/20,Premier League,Muscle strain,2019-12-30,2020-01-21,23.0,4
michail-antonio,Michail Antonio (104124),19/20,Premier League,Hamstring injury,2019-08-29,2019-11-22,86.0,16
michail-antonio,Michail Antonio (104124),18/19,Premier League,Ankle injury,2018-08-26,2018-08-31,6.0,1
michail-antonio,Michail Antonio (104124),17/18,Premier League,Hamstring injury,2018-03-31,2018-08-10,133.0,10
michail-antonio,Michail Antonio (104124),17/18,Premier League,Calf problems,2017-12-23,2018-02-02,42.0,11
michail-antonio,Michail Antonio (104124),17/18,Premier League,Bruised ribs,2017-10-20,2017-11-28,40.0,6
hendrik-bonmann,Hendrik Bonmann (104220),22/23,Bundesliga,unknown injury,2023-03-03,2023-03-11,9.0,1
hendrik-bonmann,Hendrik Bonmann (104220),21/22,,Elbow injury,2021-11-29,2021-12-01,3.0,1
hendrik-bonmann,Hendrik Bonmann (104220),20/21,,Muscle injury,2021-04-15,2021-04-19,5.0,1
hendrik-bonmann,Hendrik Bonmann (104220),19/20,,strain,2019-10-30,2019-11-03,5.0,1
hendrik-bonmann,Hendrik Bonmann (104220),18/19,,Foot injury,2019-03-07,2019-05-31,86.0,13
hendrik-bonmann,Hendrik Bonmann (104220),18/19,,Knee problems,2019-02-15,2019-04-08,53.0,9
hendrik-bonmann,Hendrik Bonmann (104220),18/19,,Knee problems,2018-10-29,2018-12-31,64.0,7
hendrik-bonmann,Hendrik Bonmann (104220),18/19,,Fitness,2018-10-15,2018-10-28,14.0,2
hendrik-bonmann,Hendrik Bonmann (104220),18/19,,Torn knee ligaments,2018-09-01,2018-10-14,44.0,7
hendrik-bonmann,Hendrik Bonmann (104220),17/18,,Syndesmotic ligament tear,2017-06-26,2017-10-16,113.0,13
alessandro-iacobucci,Alessandro Iacobucci (104290),20/21,,Broken hand,2021-02-01,2021-02-15,15.0,4
raphael-holzhauser,Raphael Holzhauser (104414),21/22,,Corona virus,2022-02-09,2022-02-16,8.0,1
raphael-holzhauser,Raphael Holzhauser (104414),18/19,,Forearm fracture,2018-11-25,2019-01-12,49.0,4
raphael-holzhauser,Raphael Holzhauser (104414),17/18,Bundesliga,Ill,2017-09-30,2017-10-09,10.0,3
yaya-fofana,Yaya Fofana (1044893),22/23,Ligue 1,Shoulder injury,2023-03-19,2023-04-10,23.0,2
yaya-fofana,Yaya Fofana (1044893),22/23,Ligue 1,Ill,2022-12-01,2023-02-13,75.0,5
lyle-taylor,Lyle Taylor (104495),23/24,,Groin injury,2024-03-29,2024-04-16,19.0,5
lyle-taylor,Lyle Taylor (104495),19/20,,Thigh problems,2020-01-02,2020-01-25,24.0,5
lucas-galvao,Lucas Galvão (104540),23/24,Bundesliga,unknown injury,2024-05-17,2024-05-29,13.0,4
lucas-galvao,Lucas Galvão (104540),23/24,Bundesliga,Adductor pain,2024-05-02,2024-05-10,9.0,1
lucas-galvao,Lucas Galvão (104540),23/24,Bundesliga,Adductor pain,2024-04-22,2024-04-25,4.0,1
lucas-galvao,Lucas Galvão (104540),23/24,Bundesliga,Ankle problems,2023-10-21,2023-10-30,10.0,2
lucas-galvao,Lucas Galvão (104540),22/23,Bundesliga,Torn muscle fiber,2023-04-06,2023-05-11,36.0,5
lucas-galvao,Lucas Galvão (104540),22/23,Bundesliga,unknown injury,2022-12-01,2023-03-16,106.0,5
lucas-galvao,Lucas Galvão (104540),21/22,Bundesliga,unknown injury,2021-07-19,2021-08-09,22.0,0
lucas-galvao,Lucas Galvão (104540),18/19,,Fitness,2019-03-04,2019-05-31,89.0,12
